Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51
サブジェクトエリア名,,,,,,,,,,,,,出願マスタ（特実）,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（論理名）,,,,,,,,,,,,,特許特許庁発の事件書誌ファイル,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名（物理名）,,,,,,,,,,,,,pmjb_g_jpo_case_biblog,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ファイル名,,,,,,,,,,,,,pmjb_g_jpo_case_biblog.tsv,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
項番,,提供項目名（論理名）,,,,,,,,,,,,,,,,,,,,,提供項目名（物理名）,,,,,,,,,,,,,"主
キー",,論理データ型,,,,,,,,,,"コード
INDEX",,,備考
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,型,,,,,最大桁数,,,,,,,,
1,,四法コード,,,,,,,,,,,,,,,,,,,,,law_cd,,,,,,,,,,,,,○,,半角文字列型,,,,,1,,,,,01290,,,
2,,出願番号,,,,,,,,,,,,,,,,,,,,,app_num,,,,,,,,,,,,,○,,半角文字列型,,,,,10,,,,,01550,,,
3,,特許庁発の事件書誌_削除フラグ,,,,,,,,,,,,,,,,,,,,,jb_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,
4,,特許庁発の事件書誌_更新日時,,,,,,,,,,,,,,,,,,,,,jb_update_dttm,,,,,,,,,,,,,,,半角文字列型,,,,,14,,,,,-,,,
5,,公開・公表IPC記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,jbui_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,2020年1月以降、付与停止
6,,登録IPC記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,jbri_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,2020年1月以降、基本的に付与停止（2023年5月までは審判由来の付与あり）
7,,指定分類IPC記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,jbdc_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,2020年1月以降、付与停止
8,,指定分類IPC記事_指定分類IPC,,,,,,,,,,,,,,,,,,,,,jbdc_desig_class_ipc,,,,,,,,,,,,,,,半角文字列型,,,,,18,,,,,01300,,,2020年1月以降、付与停止
9,,担当官記事_削除フラグ,,,,,,,,,,,,,,,,,,,,,jboi_delete_flg,,,,,,,,,,,,,,,半角文字列型,,,,,1,,,,,01280,,,"削除フラグが""Y""の場合、該当記事の情報は空白又は0となる。"
10,,担当官記事_担当官IDコード,,,,,,,,,,,,,,,,,,,,,jboi_staff_id,,,,,,,,,,,,,,,半角文字列型,,,,,8,,,,,01440,,,
11,,担当官記事_所属コード,,,,,,,,,,,,,,,,,,,,,jboi_div_cd,,,,,,,,,,,,,,,半角文字列型,,,,,4,,,,,01400,,,
